# r, rho, v, e
3.1011039819734442E+03 1.5336366419819885E+17 -1.1459644549597504E+04 1.0337729009374063E+34
3.1187956407411548E+03 1.4949290221934778E+17 -1.1673026767926873E+04 9.9913139605483956E+33
3.1364872995088226E+03 1.4575131144057155E+17 -1.1888219027162677E+04 9.6592884794176481E+33
3.1541789582765196E+03 1.4213354828815642E+17 -1.2105213107541940E+04 9.3409412222047184E+33
3.1718706170441874E+03 1.3863453227328704E+17 -1.2324000764880004E+04 9.0356015351006363E+33
3.1895622758118552E+03 1.3524943100368872E+17 -1.2544573733037305E+04 8.7426368158315540E+33
3.2072539345795522E+03 1.3197364616333301E+17 -1.2766923726301262E+04 8.4614500661474922E+33
3.2249455933472200E+03 1.2880280039037528E+17 -1.2991042441688811E+04 8.1914776200001574E+33
3.2426372521149169E+03 1.2573272498904896E+17 -1.3216921561175734E+04 7.9321870335039741E+33
3.2603289108825848E+03 1.2275944841648790E+17 -1.3444552753845424E+04 7.6830751239906324E+33
3.2780205696502526E+03 1.1987918548977666E+17 -1.3673927677970878E+04 7.4436661465302705E+33
3.2957122284179495E+03 1.1708832726306378E+17 -1.3905037983022003E+04 7.2135100973055340E+33
3.3134038871856174E+03 1.1438343152824146E+17 -1.4137875311604681E+04 6.9921811341037694E+33
3.3310955459533143E+03 1.1176121389627590E+17 -1.4372431301336641E+04 6.7792761050102196E+33
3.3487872047209821E+03 1.0921853941966149E+17 -1.4608697586653268E+04 6.5744131771369547E+33
3.3664788634886499E+03 1.0675241471922086E+17 -1.4846665800556193E+04 6.3772305578772651E+33
3.3841705222563469E+03 1.0435998058145074E+17 -1.5086327576296806E+04 6.1873853018087371E+33
3.4018621810240147E+03 1.0203850499496480E+17 -1.5327674549000907E+04 6.0045521969144234E+33
3.4195538397917117E+03 9.9785376596917856E+16 -1.5570698357239513E+04 5.8284227243037576E+33
3.4372454985593795E+03 9.7598098502543312E+16 -1.5815390644537709E+04 5.6587040860901624E+33
3.4549371573270473E+03 9.5474282492682752E+16 -1.6061743060835748E+04 5.4951182964911750E+33
3.4726288160947443E+03 9.3411643536201136E+16 -1.6309747263892943E+04 5.3374013316224354E+33
3.4903204748624121E+03 9.1407994625698080E+16 -1.6559394920640960E+04 5.1853023338011650E+33
3.5080121336301090E+03 8.9461241906470640E+16 -1.6810677708491105E+04 5.0385828665014103E+33
3.5257037923977769E+03 8.7569380080203408E+16 -1.7063587316587742E+04 4.8970162164094971E+33
3.5433954511654447E+03 8.5730488065983744E+16 -1.7318115447021053E+04 4.7603867392873925E+33
3.5610871099331416E+03 8.3942724902625488E+16 -1.7574253815990065E+04 4.6284892466157967E+33
3.5787787687008095E+03 8.2204325877274704E+16 -1.7831994154922118E+04 4.5011284302091910E+33
3.5964704274685064E+03 8.0513598866310688E+16 -1.8091328211553522E+04 4.3781183222068952E+33
3.6141620862361742E+03 7.8868920875602576E+16 -1.8352247750962688E+04 4.2592817880448383E+33
3.6318537450038421E+03 7.7268734767905312E+16 -1.8614744556569243E+04 4.1444500501792609E+33
3.6495454037715390E+03 7.5711546166148928E+16 -1.8878810431090060E+04 4.0334622405085730E+33
3.6672370625392068E+03 7.4195920522030320E+16 -1.9144437197457490E+04 3.9261649795829005E+33
3.6849287213069038E+03 7.2720480340022992E+16 -1.9411616699705144E+04 3.8224119808300645E+33
3.7026203800745716E+03 7.1283902547656424E+16 -1.9680340803811581E+04 3.7220636781606266E+33
3.7203120388422394E+03 6.9884916003378920E+16 -1.9950601398516341E+04 3.6249868754224261E+33
3.7380036976099364E+03 6.8522299134018688E+16 -2.0222390396097646E+04 3.5310544162936563E+33
3.7556953563776042E+03 6.7194877694285056E+16 -2.0495699733118250E+04 3.4401448732971508E+33
3.7733870151453011E+03 6.5901522641244112E+16 -2.0770521371143699E+04 3.3521422547118362E+33
3.7910786739129690E+03 6.4641148117224584E+16 -2.1046847297423839E+04 3.2669357282476886E+33
3.8087703326806368E+03 6.3412709534909056E+16 -2.1324669525551377E+04 3.1844193604214116E+33
3.8264619914483337E+03 6.2215201758875464E+16 -2.1603980096087107E+04 3.1044918706513494E+33
3.8441536502160016E+03 6.1047657378134872E+16 -2.1884771077157726E+04 3.0270563991521847E+33
3.8618453089836985E+03 5.9909145064559120E+16 -2.2167034565030764E+04 2.9520202877732692E+33
3.8795369677513663E+03 5.8798768012467992E+16 -2.2450762684657129E+04 2.8792948729864391E+33
3.8972286265190342E+03 5.7715662454835912E+16 -2.2735947590194919E+04 2.8087952902760066E+33
3.9149202852867311E+03 5.6658996251956552E+16 -2.3022581465504009E+04 2.7404402892403324E+33
3.9326119440543989E+03 5.5627967548589616E+16 -2.3310656524617410E+04 2.6741520587559053E+33
3.9503036028220959E+03 5.4621803495859312E+16 -2.3600165012193691E+04 2.6098560615982032E+33
3.9679952615897637E+03 5.3639759034453464E+16 -2.3891099203940343E+04 2.5474808779569583E+33
3.9856869203574315E+03 5.2681115735785600E+16 -2.4183451407022945E+04 2.4869580573143340E+33
4.0033785791251285E+03 5.1745180698074496E+16 -2.4477213960448076E+04 2.4282219781950167E+33
4.0210702378927963E+03 5.0831285494412592E+16 -2.4772379235426364E+04 2.3712097153249964E+33
4.0387618966604932E+03 4.9938785170070664E+16 -2.5068939635720664E+04 2.3158609137658278E+33
4.0564535554281611E+03 4.9067057286498808E+16 -2.5366887597968052E+04 2.2621176696221030E+33
4.0741452141958289E+03 4.8215501009547016E+16 -2.5666215591990600E+04 2.2099244169401640E+33
4.0918368729635258E+03 4.7383536239654160E+16 -2.5966916121083425E+04 2.1592278204453395E+33
4.1095285317311937E+03 4.6570602781829016E+16 -2.6268981722285745E+04 2.1099766737837694E+33
4.1272201904988906E+03 4.5776159553375416E+16 -2.6572404966639893E+04 2.0621218029560284E+33
4.1449118492665584E+03 4.4999683827472552E+16 -2.6877178459427207E+04 2.0156159746517551E+33
4.1626035080342263E+03 4.4240670510758848E+16 -2.7183294840395120E+04 1.9704138092082802E+33
4.1802951668019232E+03 4.3498631453238968E+16 -2.7490746783964649E+04 1.9264716979372979E+33
4.1979868255695910E+03 4.2773094788884096E+16 -2.7799526999423138E+04 1.8837477245766538E+33
4.2156784843372880E+03 4.2063604305386976E+16 -2.8109628231107767E+04 1.8422015906391659E+33
4.2333701431049558E+03 4.1369718841658128E+16 -2.8421043258567901E+04 1.8017945444465040E+33
4.2510618018726236E+03 4.0691011711662472E+16 -2.8733764896721870E+04 1.7624893136450906E+33
4.2687534606403206E+03 4.0027070153337128E+16 -2.9047785995995619E+04 1.7242500410169222E+33
4.2864451194079884E+03 3.9377494801356008E+16 -2.9363099442449358E+04 1.6870422234067889E+33
4.3041367781756853E+03 3.8741899182577600E+16 -2.9679698157896877E+04 1.6508326535981664E+33
4.3218284369433532E+03 3.8119909233108616E+16 -2.9997575100006277E+04 1.6155893649818591E+33
4.3395200957110210E+03 3.7511162835917856E+16 -3.0316723262396452E+04 1.5812815788674094E+33
