   R [km]      D [g/ccm]   T [mev]     Y        
   2.998E-01   3.180E+14   1.133E+01   2.773E-01
   7.510E-01   3.174E+14   1.132E+01   2.773E-01
   1.055E+00   3.164E+14   1.132E+01   2.773E-01
   1.361E+00   3.151E+14   1.129E+01   2.772E-01
   1.669E+00   3.136E+14   1.125E+01   2.770E-01
   1.977E+00   3.117E+14   1.120E+01   2.767E-01
   2.286E+00   3.095E+14   1.115E+01   2.764E-01
   2.598E+00   3.070E+14   1.110E+01   2.760E-01
   2.912E+00   3.041E+14   1.106E+01   2.756E-01
   3.228E+00   3.007E+14   1.104E+01   2.750E-01
   3.546E+00   2.969E+14   1.106E+01   2.745E-01
   3.866E+00   2.925E+14   1.115E+01   2.740E-01
   4.189E+00   2.878E+14   1.124E+01   2.735E-01
   4.514E+00   2.827E+14   1.130E+01   2.729E-01
   4.841E+00   2.773E+14   1.134E+01   2.714E-01
   5.171E+00   2.714E+14   1.139E+01   2.701E-01
   5.503E+00   2.652E+14   1.138E+01   2.690E-01
   5.838E+00   2.593E+14   1.121E+01   2.675E-01
   6.176E+00   2.532E+14   1.098E+01   2.660E-01
   6.515E+00   2.467E+14   1.074E+01   2.624E-01
   6.857E+00   2.388E+14   1.070E+01   2.605E-01
   7.202E+00   2.303E+14   1.069E+01   2.593E-01
   7.548E+00   2.211E+14   1.075E+01   2.574E-01
   7.898E+00   2.110E+14   1.089E+01   2.544E-01
   8.250E+00   2.005E+14   1.105E+01   2.517E-01
   8.605E+00   1.897E+14   1.113E+01   2.475E-01
   8.962E+00   1.786E+14   1.120E+01   2.431E-01
   9.322E+00   1.665E+14   1.130E+01   2.384E-01
   9.684E+00   1.533E+14   1.149E+01   2.339E-01
   1.005E+01   1.385E+14   1.184E+01   2.303E-01
   1.041E+01   1.224E+14   1.224E+01   2.272E-01
   1.079E+01   1.060E+14   1.263E+01   2.250E-01
   1.116E+01   8.773E+13   1.327E+01   2.263E-01
   1.153E+01   6.971E+13   1.415E+01   2.308E-01
   1.191E+01   5.773E+13   1.464E+01   2.306E-01
   1.230E+01   4.751E+13   1.523E+01   2.323E-01
   1.268E+01   3.991E+13   1.574E+01   2.332E-01
   1.306E+01   3.431E+13   1.612E+01   2.324E-01
   1.345E+01   3.004E+13   1.641E+01   2.303E-01
   1.385E+01   2.669E+13   1.659E+01   2.273E-01
   1.424E+01   2.397E+13   1.671E+01   2.239E-01
   1.464E+01   2.171E+13   1.676E+01   2.202E-01
   1.504E+01   1.982E+13   1.676E+01   2.162E-01
   1.544E+01   1.822E+13   1.670E+01   2.121E-01
   1.586E+01   1.684E+13   1.661E+01   2.078E-01
   1.627E+01   1.564E+13   1.648E+01   2.035E-01
   1.667E+01   1.458E+13   1.631E+01   1.990E-01
   1.709E+01   1.364E+13   1.613E+01   1.947E-01
   1.751E+01   1.280E+13   1.592E+01   1.902E-01
   1.793E+01   1.204E+13   1.569E+01   1.860E-01
   1.836E+01   1.136E+13   1.545E+01   1.815E-01
   1.879E+01   1.072E+13   1.520E+01   1.774E-01
   1.921E+01   1.014E+13   1.494E+01   1.733E-01
   1.964E+01   9.604E+12   1.467E+01   1.692E-01
   2.008E+01   9.103E+12   1.441E+01   1.654E-01
   2.051E+01   8.634E+12   1.414E+01   1.618E-01
   2.095E+01   8.196E+12   1.387E+01   1.583E-01
   2.139E+01   7.782E+12   1.361E+01   1.549E-01
   2.183E+01   7.390E+12   1.334E+01   1.518E-01
   2.228E+01   7.020E+12   1.308E+01   1.488E-01
   2.272E+01   6.668E+12   1.283E+01   1.460E-01
   2.317E+01   6.332E+12   1.258E+01   1.434E-01
   2.362E+01   6.015E+12   1.234E+01   1.409E-01
   2.407E+01   5.710E+12   1.210E+01   1.386E-01
   2.453E+01   5.419E+12   1.187E+01   1.366E-01
   2.499E+01   5.144E+12   1.164E+01   1.346E-01
   2.545E+01   4.881E+12   1.142E+01   1.327E-01
   2.591E+01   4.629E+12   1.121E+01   1.311E-01
   2.638E+01   4.391E+12   1.100E+01   1.295E-01
   2.684E+01   4.164E+12   1.079E+01   1.280E-01
   2.732E+01   3.946E+12   1.060E+01   1.268E-01
   2.779E+01   3.741E+12   1.040E+01   1.256E-01
   2.827E+01   3.545E+12   1.021E+01   1.244E-01
   2.875E+01   3.359E+12   1.003E+01   1.235E-01
   2.923E+01   3.184E+12   9.851E+00   1.225E-01
   2.972E+01   3.017E+12   9.676E+00   1.214E-01
   3.021E+01   2.858E+12   9.503E+00   1.207E-01
   3.071E+01   2.709E+12   9.334E+00   1.198E-01
   3.120E+01   2.567E+12   9.169E+00   1.190E-01
   3.170E+01   2.432E+12   9.007E+00   1.184E-01
   3.220E+01   2.304E+12   8.847E+00   1.178E-01
   3.272E+01   2.184E+12   8.690E+00   1.170E-01
   3.323E+01   2.069E+12   8.536E+00   1.164E-01
   3.374E+01   1.961E+12   8.384E+00   1.159E-01
   3.426E+01   1.858E+12   8.234E+00   1.153E-01
   3.478E+01   1.761E+12   8.088E+00   1.146E-01
   3.530E+01   1.669E+12   7.943E+00   1.142E-01
   3.583E+01   1.582E+12   7.800E+00   1.136E-01
   3.637E+01   1.499E+12   7.661E+00   1.130E-01
   3.690E+01   1.420E+12   7.523E+00   1.125E-01
   3.744E+01   1.345E+12   7.388E+00   1.121E-01
   3.798E+01   1.275E+12   7.255E+00   1.114E-01
   3.853E+01   1.207E+12   7.125E+00   1.111E-01
   3.909E+01   1.143E+12   6.996E+00   1.107E-01
   3.965E+01   1.083E+12   6.871E+00   1.102E-01
   4.021E+01   1.025E+12   6.748E+00   1.099E-01
   4.077E+01   9.699E+11   6.628E+00   1.096E-01
   4.134E+01   9.179E+11   6.510E+00   1.093E-01
   4.191E+01   8.682E+11   6.396E+00   1.091E-01
   4.249E+01   8.210E+11   6.283E+00   1.090E-01
   4.308E+01   7.763E+11   6.174E+00   1.088E-01
   4.366E+01   7.337E+11   6.067E+00   1.086E-01
   4.425E+01   6.932E+11   5.963E+00   1.087E-01
   4.484E+01   6.549E+11   5.861E+00   1.086E-01
   4.545E+01   6.185E+11   5.763E+00   1.085E-01
   4.605E+01   5.838E+11   5.667E+00   1.087E-01
   4.666E+01   5.510E+11   5.573E+00   1.089E-01
   4.728E+01   5.200E+11   5.482E+00   1.090E-01
   4.789E+01   4.905E+11   5.394E+00   1.092E-01
   4.851E+01   4.625E+11   5.308E+00   1.096E-01
   4.915E+01   4.361E+11   5.225E+00   1.099E-01
   4.978E+01   4.111E+11   5.144E+00   1.102E-01
   5.041E+01   3.873E+11   5.066E+00   1.108E-01
   5.106E+01   3.649E+11   4.990E+00   1.113E-01
   5.170E+01   3.438E+11   4.916E+00   1.119E-01
   5.236E+01   3.238E+11   4.845E+00   1.124E-01
   5.301E+01   3.048E+11   4.776E+00   1.132E-01
   5.367E+01   2.870E+11   4.708E+00   1.140E-01
   5.434E+01   2.702E+11   4.643E+00   1.148E-01
   5.502E+01   2.543E+11   4.580E+00   1.155E-01
   5.569E+01   2.393E+11   4.519E+00   1.165E-01
   5.638E+01   2.251E+11   4.459E+00   1.175E-01
   5.707E+01   2.118E+11   4.401E+00   1.184E-01
   5.776E+01   1.993E+11   4.345E+00   1.193E-01
   5.846E+01   1.874E+11   4.290E+00   1.205E-01
   5.917E+01   1.763E+11   4.237E+00   1.218E-01
   5.987E+01   1.658E+11   4.186E+00   1.231E-01
   6.059E+01   1.559E+11   4.136E+00   1.244E-01
   6.131E+01   1.467E+11   4.088E+00   1.256E-01
   6.204E+01   1.380E+11   4.042E+00   1.271E-01
   6.277E+01   1.298E+11   3.996E+00   1.285E-01
   6.351E+01   1.221E+11   3.952E+00   1.300E-01
   6.425E+01   1.149E+11   3.910E+00   1.316E-01
   6.500E+01   1.081E+11   3.869E+00   1.332E-01
   6.576E+01   1.017E+11   3.829E+00   1.349E-01
   6.652E+01   9.573E+10   3.790E+00   1.367E-01
   6.728E+01   9.013E+10   3.752E+00   1.384E-01
   6.806E+01   8.486E+10   3.716E+00   1.402E-01
   6.884E+01   7.991E+10   3.680E+00   1.421E-01
   6.963E+01   7.526E+10   3.646E+00   1.440E-01
   7.042E+01   7.088E+10   3.613E+00   1.460E-01
   7.122E+01   6.677E+10   3.579E+00   1.481E-01
   7.203E+01   6.292E+10   3.548E+00   1.502E-01
   7.283E+01   5.931E+10   3.516E+00   1.524E-01
   7.365E+01   5.592E+10   3.486E+00   1.545E-01
   7.447E+01   5.274E+10   3.456E+00   1.567E-01
   7.531E+01   4.973E+10   3.429E+00   1.589E-01
   7.614E+01   4.692E+10   3.401E+00   1.613E-01
   7.699E+01   4.429E+10   3.374E+00   1.638E-01
   7.783E+01   4.183E+10   3.347E+00   1.662E-01
   7.869E+01   3.951E+10   3.321E+00   1.686E-01
   7.956E+01   3.734E+10   3.296E+00   1.711E-01
   8.043E+01   3.531E+10   3.273E+00   1.736E-01
   8.130E+01   3.340E+10   3.250E+00   1.762E-01
   8.219E+01   3.160E+10   3.228E+00   1.788E-01
   8.308E+01   2.993E+10   3.205E+00   1.815E-01
   8.397E+01   2.836E+10   3.184E+00   1.842E-01
   8.488E+01   2.689E+10   3.162E+00   1.869E-01
   8.579E+01   2.551E+10   3.141E+00   1.895E-01
   8.671E+01   2.421E+10   3.120E+00   1.922E-01
   8.764E+01   2.298E+10   3.099E+00   1.948E-01
   8.857E+01   2.182E+10   3.078E+00   1.974E-01
   8.951E+01   2.071E+10   3.056E+00   2.000E-01
   9.046E+01   1.968E+10   3.033E+00   2.027E-01
   9.141E+01   1.872E+10   3.009E+00   2.052E-01
   9.238E+01   1.784E+10   2.985E+00   2.075E-01
   9.335E+01   1.700E+10   2.960E+00   2.098E-01
   9.432E+01   1.622E+10   2.937E+00   2.121E-01
   9.530E+01   1.549E+10   2.912E+00   2.143E-01
   9.630E+01   1.483E+10   2.885E+00   2.161E-01
   9.730E+01   1.420E+10   2.857E+00   2.179E-01
   9.831E+01   1.357E+10   2.833E+00   2.203E-01
   9.933E+01   1.297E+10   2.810E+00   2.227E-01
   1.004E+02   1.245E+10   2.779E+00   2.243E-01
   1.014E+02   1.203E+10   2.738E+00   2.253E-01
   1.024E+02   1.164E+10   2.693E+00   2.263E-01
   1.034E+02   1.127E+10   2.648E+00   2.278E-01
   1.046E+02   1.088E+10   2.607E+00   2.299E-01
   1.056E+02   1.047E+10   2.573E+00   2.327E-01
   1.067E+02   1.006E+10   2.543E+00   2.361E-01
   1.078E+02   9.687E+09   2.510E+00   2.396E-01
   1.089E+02   9.322E+09   2.479E+00   2.436E-01
   1.100E+02   8.980E+09   2.448E+00   2.479E-01
   1.111E+02   8.736E+09   2.396E+00   2.524E-01
   1.121E+02   8.558E+09   2.327E+00   2.574E-01
   1.132E+02   8.352E+09   2.259E+00   2.636E-01
   1.144E+02   8.073E+09   2.205E+00   2.704E-01
   1.155E+02   7.777E+09   2.158E+00   2.775E-01
   1.167E+02   7.513E+09   2.102E+00   2.853E-01
   1.179E+02   7.338E+09   2.029E+00   2.940E-01
   1.190E+02   7.226E+09   1.938E+00   3.037E-01
   1.202E+02   6.937E+09   1.892E+00   3.137E-01
   1.214E+02   6.566E+09   1.871E+00   3.224E-01
   1.226E+02   6.305E+09   1.831E+00   3.309E-01
   1.238E+02   6.136E+09   1.775E+00   3.414E-01
   1.250E+02   5.929E+09   1.731E+00   3.524E-01
   1.262E+02   5.616E+09   1.714E+00   3.613E-01
   1.275E+02   5.378E+09   1.694E+00   3.696E-01
   1.287E+02   5.268E+09   1.647E+00   3.802E-01
   1.299E+02   5.164E+09   1.603E+00   3.914E-01
   1.312E+02   4.910E+09   1.588E+00   4.004E-01
   1.324E+02   4.673E+09   1.572E+00   4.076E-01
   1.337E+02   4.494E+09   1.542E+00   4.156E-01
   1.351E+02   4.265E+09   1.524E+00   4.237E-01
   1.363E+02   4.008E+09   1.512E+00   4.299E-01
   1.377E+02   3.808E+09   1.493E+00   4.356E-01
   1.389E+02   3.656E+09   1.460E+00   4.426E-01
   1.403E+02   3.465E+09   1.440E+00   4.491E-01
   1.417E+02   3.247E+09   1.430E+00   4.531E-01
   1.430E+02   3.075E+09   1.419E+00   4.571E-01
   1.444E+02   2.975E+09   1.396E+00   4.618E-01
   1.457E+02   2.916E+09   1.372E+00   4.668E-01
   1.471E+02   2.791E+09   1.364E+00   4.705E-01
   1.485E+02   2.650E+09   1.360E+00   4.730E-01
   1.499E+02   2.515E+09   1.351E+00   4.756E-01
   1.513E+02   2.447E+09   1.325E+00   4.790E-01
   1.528E+02   2.345E+09   1.305E+00   4.820E-01
   1.542E+02   2.195E+09   1.298E+00   4.838E-01
   1.556E+02   2.042E+09   1.292E+00   4.852E-01
   1.571E+02   1.938E+09   1.274E+00   4.871E-01
   1.586E+02   1.889E+09   1.246E+00   4.890E-01
   1.601E+02   1.781E+09   1.235E+00   4.904E-01
   1.616E+02   1.652E+09   1.236E+00   4.914E-01
   1.631E+02   1.580E+09   1.232E+00   4.923E-01
   1.646E+02   1.558E+09   1.204E+00   4.934E-01
   1.661E+02   1.513E+09   1.186E+00   4.941E-01
   1.676E+02   1.210E+09   1.176E+00   4.947E-01
   1.691E+02   4.837E+08   9.661E-01   4.950E-01
   1.707E+02   1.633E+08   6.612E-01   4.951E-01
   1.722E+02   1.336E+08   5.909E-01   4.951E-01
   1.738E+02   1.308E+08   6.008E-01   4.951E-01
   1.754E+02   1.299E+08   5.910E-01   4.951E-01
   1.770E+02   1.275E+08   5.898E-01   4.952E-01
   1.786E+02   1.263E+08   5.870E-01   4.952E-01
   1.802E+02   1.241E+08   5.853E-01   4.952E-01
   1.819E+02   1.230E+08   5.830E-01   4.953E-01
   1.836E+02   1.210E+08   5.814E-01   4.953E-01
   1.852E+02   1.198E+08   5.792E-01   4.953E-01
   1.869E+02   1.179E+08   5.776E-01   4.953E-01
   1.886E+02   1.168E+08   5.756E-01   4.954E-01
   1.903E+02   1.150E+08   5.738E-01   4.954E-01
   1.919E+02   1.137E+08   5.717E-01   4.954E-01
   1.937E+02   1.120E+08   5.699E-01   4.954E-01
   1.954E+02   1.108E+08   5.679E-01   4.954E-01
   1.972E+02   1.091E+08   5.661E-01   4.955E-01
   1.989E+02   1.079E+08   5.641E-01   4.955E-01
   2.007E+02   1.064E+08   5.623E-01   4.955E-01
   2.025E+02   1.052E+08   5.604E-01   4.955E-01
   2.043E+02   1.038E+08   5.586E-01   4.956E-01
   2.062E+02   1.025E+08   5.567E-01   4.956E-01
   2.080E+02   1.012E+08   5.548E-01   4.956E-01
   2.098E+02   1.000E+08   5.531E-01   4.956E-01
   2.117E+02   9.870E+07   5.513E-01   4.957E-01
   2.135E+02   9.757E+07   5.498E-01   4.957E-01
   2.155E+02   9.632E+07   5.482E-01   4.957E-01
   2.173E+02   9.515E+07   5.469E-01   4.957E-01
   2.192E+02   9.394E+07   5.454E-01   4.957E-01
   2.212E+02   9.274E+07   5.442E-01   4.958E-01
   2.231E+02   9.158E+07   5.427E-01   4.958E-01
   2.250E+02   9.042E+07   5.412E-01   4.958E-01
   2.270E+02   8.935E+07   5.397E-01   4.958E-01
   2.290E+02   8.823E+07   5.379E-01   4.959E-01
   2.310E+02   8.720E+07   5.360E-01   4.959E-01
   2.330E+02   8.610E+07   5.341E-01   4.959E-01
