   R [km]      D [g/ccm]   T [mev]     Y        
   1.450E-01   4.217E+14   1.223E+01   2.538E-01
   4.356E-01   4.214E+14   1.219E+01   2.537E-01
   7.280E-01   4.204E+14   1.217E+01   2.537E-01
   1.022E+00   4.191E+14   1.214E+01   2.537E-01
   1.319E+00   4.173E+14   1.212E+01   2.537E-01
   1.618E+00   4.150E+14   1.211E+01   2.538E-01
   1.918E+00   4.122E+14   1.209E+01   2.540E-01
   2.221E+00   4.088E+14   1.207E+01   2.543E-01
   2.526E+00   4.050E+14   1.206E+01   2.546E-01
   2.833E+00   4.006E+14   1.206E+01   2.551E-01
   3.142E+00   3.956E+14   1.203E+01   2.555E-01
   3.454E+00   3.902E+14   1.194E+01   2.560E-01
   3.767E+00   3.843E+14   1.185E+01   2.565E-01
   4.083E+00   3.778E+14   1.176E+01   2.571E-01
   4.401E+00   3.706E+14   1.169E+01   2.578E-01
   4.721E+00   3.629E+14   1.163E+01   2.585E-01
   5.043E+00   3.546E+14   1.158E+01   2.592E-01
   5.368E+00   3.457E+14   1.144E+01   2.595E-01
   5.695E+00   3.361E+14   1.131E+01   2.599E-01
   6.024E+00   3.259E+14   1.125E+01   2.603E-01
   6.356E+00   3.149E+14   1.123E+01   2.603E-01
   6.690E+00   3.032E+14   1.120E+01   2.594E-01
   7.026E+00   2.903E+14   1.137E+01   2.588E-01
   7.365E+00   2.757E+14   1.187E+01   2.575E-01
   7.706E+00   2.588E+14   1.276E+01   2.566E-01
   8.049E+00   2.399E+14   1.396E+01   2.547E-01
   8.395E+00   2.170E+14   1.577E+01   2.560E-01
   8.743E+00   1.906E+14   1.803E+01   2.577E-01
   9.093E+00   1.617E+14   2.054E+01   2.624E-01
   9.446E+00   1.332E+14   2.296E+01   2.704E-01
   9.802E+00   1.094E+14   2.491E+01   2.791E-01
   1.016E+01   9.139E+13   2.633E+01   2.861E-01
   1.052E+01   7.817E+13   2.732E+01   2.907E-01
   1.088E+01   6.837E+13   2.795E+01   2.927E-01
   1.125E+01   6.099E+13   2.833E+01   2.923E-01
   1.162E+01   5.531E+13   2.849E+01   2.892E-01
   1.199E+01   5.078E+13   2.851E+01   2.843E-01
   1.236E+01   4.713E+13   2.839E+01   2.777E-01
   1.274E+01   4.408E+13   2.818E+01   2.698E-01
   1.312E+01   4.146E+13   2.789E+01   2.613E-01
   1.350E+01   3.915E+13   2.753E+01   2.524E-01
   1.388E+01   3.706E+13   2.714E+01   2.437E-01
   1.427E+01   3.513E+13   2.671E+01   2.352E-01
   1.466E+01   3.332E+13   2.627E+01   2.272E-01
   1.505E+01   3.161E+13   2.581E+01   2.196E-01
   1.544E+01   2.998E+13   2.533E+01   2.128E-01
   1.584E+01   2.843E+13   2.486E+01   2.065E-01
   1.624E+01   2.694E+13   2.439E+01   2.007E-01
   1.664E+01   2.551E+13   2.390E+01   1.956E-01
   1.705E+01   2.415E+13   2.343E+01   1.909E-01
   1.746E+01   2.285E+13   2.297E+01   1.866E-01
   1.787E+01   2.161E+13   2.250E+01   1.830E-01
   1.829E+01   2.044E+13   2.203E+01   1.794E-01
   1.870E+01   1.933E+13   2.159E+01   1.762E-01
   1.912E+01   1.827E+13   2.113E+01   1.733E-01
   1.955E+01   1.728E+13   2.068E+01   1.704E-01
   1.997E+01   1.634E+13   2.024E+01   1.679E-01
   2.040E+01   1.545E+13   1.979E+01   1.655E-01
   2.083E+01   1.461E+13   1.936E+01   1.630E-01
   2.127E+01   1.382E+13   1.893E+01   1.609E-01
   2.171E+01   1.307E+13   1.850E+01   1.586E-01
   2.215E+01   1.237E+13   1.808E+01   1.565E-01
   2.259E+01   1.170E+13   1.766E+01   1.545E-01
   2.304E+01   1.107E+13   1.725E+01   1.523E-01
   2.349E+01   1.047E+13   1.685E+01   1.505E-01
   2.394E+01   9.910E+12   1.645E+01   1.485E-01
   2.439E+01   9.372E+12   1.605E+01   1.468E-01
   2.485E+01   8.861E+12   1.567E+01   1.450E-01
   2.530E+01   8.377E+12   1.530E+01   1.432E-01
   2.577E+01   7.912E+12   1.493E+01   1.416E-01
   2.623E+01   7.473E+12   1.457E+01   1.400E-01
   2.670E+01   7.050E+12   1.423E+01   1.386E-01
   2.716E+01   6.650E+12   1.389E+01   1.373E-01
   2.764E+01   6.268E+12   1.356E+01   1.360E-01
   2.811E+01   5.903E+12   1.325E+01   1.350E-01
   2.859E+01   5.556E+12   1.294E+01   1.339E-01
   2.907E+01   5.224E+12   1.265E+01   1.332E-01
   2.955E+01   4.909E+12   1.237E+01   1.324E-01
   3.004E+01   4.609E+12   1.210E+01   1.317E-01
   3.053E+01   4.323E+12   1.183E+01   1.314E-01
   3.102E+01   4.055E+12   1.158E+01   1.309E-01
   3.152E+01   3.799E+12   1.134E+01   1.307E-01
   3.202E+01   3.559E+12   1.111E+01   1.306E-01
   3.252E+01   3.333E+12   1.088E+01   1.305E-01
   3.302E+01   3.119E+12   1.067E+01   1.306E-01
   3.353E+01   2.919E+12   1.046E+01   1.308E-01
   3.404E+01   2.731E+12   1.025E+01   1.309E-01
   3.456E+01   2.554E+12   1.007E+01   1.313E-01
   3.508E+01   2.389E+12   9.867E+00   1.316E-01
   3.560E+01   2.236E+12   9.686E+00   1.318E-01
   3.613E+01   2.091E+12   9.505E+00   1.323E-01
   3.666E+01   1.956E+12   9.333E+00   1.327E-01
   3.719E+01   1.831E+12   9.160E+00   1.330E-01
   3.773E+01   1.713E+12   8.988E+00   1.335E-01
   3.827E+01   1.603E+12   8.824E+00   1.340E-01
   3.881E+01   1.501E+12   8.669E+00   1.343E-01
   3.936E+01   1.405E+12   8.510E+00   1.347E-01
   3.991E+01   1.315E+12   8.356E+00   1.352E-01
   4.047E+01   1.232E+12   8.205E+00   1.356E-01
   4.103E+01   1.154E+12   8.057E+00   1.360E-01
   4.160E+01   1.081E+12   7.912E+00   1.365E-01
   4.217E+01   1.013E+12   7.770E+00   1.368E-01
   4.274E+01   9.485E+11   7.632E+00   1.372E-01
   4.332E+01   8.885E+11   7.495E+00   1.377E-01
   4.390E+01   8.325E+11   7.362E+00   1.382E-01
   4.449E+01   7.801E+11   7.232E+00   1.385E-01
   4.508E+01   7.306E+11   7.105E+00   1.392E-01
   4.567E+01   6.845E+11   6.981E+00   1.397E-01
   4.627E+01   6.414E+11   6.860E+00   1.401E-01
   4.687E+01   6.006E+11   6.742E+00   1.408E-01
   4.748E+01   5.626E+11   6.627E+00   1.415E-01
   4.809E+01   5.270E+11   6.516E+00   1.421E-01
   4.871E+01   4.936E+11   6.407E+00   1.428E-01
   4.933E+01   4.621E+11   6.301E+00   1.437E-01
   4.996E+01   4.328E+11   6.198E+00   1.445E-01
   5.059E+01   4.052E+11   6.098E+00   1.453E-01
   5.122E+01   3.792E+11   6.002E+00   1.464E-01
   5.186E+01   3.550E+11   5.907E+00   1.473E-01
   5.251E+01   3.323E+11   5.817E+00   1.483E-01
   5.316E+01   3.111E+11   5.728E+00   1.494E-01
   5.381E+01   2.910E+11   5.643E+00   1.507E-01
   5.447E+01   2.723E+11   5.560E+00   1.520E-01
   5.513E+01   2.549E+11   5.480E+00   1.533E-01
   5.580E+01   2.385E+11   5.402E+00   1.547E-01
   5.648E+01   2.231E+11   5.328E+00   1.563E-01
   5.716E+01   2.088E+11   5.255E+00   1.578E-01
   5.784E+01   1.954E+11   5.185E+00   1.593E-01
   5.853E+01   1.829E+11   5.118E+00   1.610E-01
   5.923E+01   1.711E+11   5.052E+00   1.630E-01
   5.993E+01   1.601E+11   4.989E+00   1.648E-01
   6.063E+01   1.498E+11   4.927E+00   1.667E-01
   6.134E+01   1.403E+11   4.868E+00   1.686E-01
   6.206E+01   1.313E+11   4.811E+00   1.707E-01
   6.278E+01   1.229E+11   4.756E+00   1.730E-01
   6.351E+01   1.151E+11   4.702E+00   1.753E-01
   6.424E+01   1.078E+11   4.652E+00   1.775E-01
   6.498E+01   1.010E+11   4.604E+00   1.798E-01
   6.572E+01   9.415E+10   4.554E+00   1.823E-01
   6.647E+01   8.835E+10   4.505E+00   1.848E-01
   6.722E+01   8.284E+10   4.460E+00   1.875E-01
   6.798E+01   7.777E+10   4.416E+00   1.900E-01
   6.875E+01   7.297E+10   4.374E+00   1.927E-01
   6.952E+01   6.851E+10   4.334E+00   1.953E-01
   7.030E+01   6.431E+10   4.296E+00   1.982E-01
   7.108E+01   6.040E+10   4.257E+00   2.012E-01
   7.187E+01   5.675E+10   4.220E+00   2.042E-01
   7.267E+01   5.336E+10   4.183E+00   2.072E-01
   7.347E+01   5.017E+10   4.150E+00   2.102E-01
   7.427E+01   4.721E+10   4.116E+00   2.133E-01
   7.509E+01   4.441E+10   4.085E+00   2.164E-01
   7.591E+01   4.180E+10   4.054E+00   2.198E-01
   7.673E+01   3.936E+10   4.023E+00   2.232E-01
   7.756E+01   3.709E+10   3.993E+00   2.265E-01
   7.840E+01   3.497E+10   3.964E+00   2.298E-01
   7.925E+01   3.298E+10   3.936E+00   2.333E-01
   8.010E+01   3.114E+10   3.909E+00   2.366E-01
   8.095E+01   2.939E+10   3.883E+00   2.400E-01
   8.182E+01   2.776E+10   3.859E+00   2.435E-01
   8.269E+01   2.623E+10   3.834E+00   2.470E-01
   8.356E+01   2.481E+10   3.808E+00   2.505E-01
   8.444E+01   2.347E+10   3.783E+00   2.541E-01
   8.533E+01   2.224E+10   3.758E+00   2.574E-01
   8.623E+01   2.107E+10   3.733E+00   2.609E-01
   8.713E+01   1.999E+10   3.710E+00   2.641E-01
   8.804E+01   1.897E+10   3.686E+00   2.675E-01
   8.896E+01   1.803E+10   3.662E+00   2.706E-01
   8.988E+01   1.714E+10   3.639E+00   2.738E-01
   9.081E+01   1.632E+10   3.614E+00   2.769E-01
   9.175E+01   1.555E+10   3.588E+00   2.798E-01
   9.269E+01   1.484E+10   3.561E+00   2.826E-01
   9.364E+01   1.417E+10   3.535E+00   2.853E-01
   9.460E+01   1.353E+10   3.510E+00   2.880E-01
   9.556E+01   1.294E+10   3.484E+00   2.906E-01
   9.653E+01   1.239E+10   3.459E+00   2.931E-01
   9.751E+01   1.188E+10   3.431E+00   2.952E-01
   9.849E+01   1.141E+10   3.401E+00   2.973E-01
   9.949E+01   1.093E+10   3.375E+00   2.997E-01
   1.005E+02   1.048E+10   3.350E+00   3.023E-01
   1.015E+02   1.006E+10   3.324E+00   3.046E-01
   1.025E+02   9.701E+09   3.292E+00   3.062E-01
   1.035E+02   9.397E+09   3.256E+00   3.073E-01
   1.046E+02   9.108E+09   3.220E+00   3.085E-01
   1.056E+02   8.789E+09   3.192E+00   3.103E-01
   1.066E+02   8.452E+09   3.168E+00   3.129E-01
   1.077E+02   8.140E+09   3.144E+00   3.156E-01
   1.088E+02   7.876E+09   3.112E+00   3.175E-01
   1.098E+02   7.669E+09   3.073E+00   3.188E-01
   1.109E+02   7.485E+09   3.027E+00   3.198E-01
