   R [km]      D [g/ccm]   T [mev]     Y        
   1.167E-01   4.132E+14   1.259E+01   2.652E-01
   3.500E-01   4.078E+14   1.407E+01   2.792E-01
   5.833E-01   4.070E+14   1.404E+01   2.804E-01
   9.272E-01   4.057E+14   1.389E+01   2.788E-01
   1.302E+00   4.035E+14   1.368E+01   2.783E-01
   1.545E+00   4.014E+14   1.363E+01   2.785E-01
   1.703E+00   3.999E+14   1.356E+01   2.783E-01
   1.806E+00   3.989E+14   1.353E+01   2.783E-01
   1.872E+00   3.982E+14   1.351E+01   2.782E-01
   1.925E+00   3.976E+14   1.349E+01   2.782E-01
   1.980E+00   3.970E+14   1.347E+01   2.781E-01
   2.036E+00   3.963E+14   1.345E+01   2.781E-01
   2.094E+00   3.956E+14   1.343E+01   2.780E-01
   2.153E+00   3.949E+14   1.341E+01   2.780E-01
   2.214E+00   3.941E+14   1.338E+01   2.779E-01
   2.277E+00   3.933E+14   1.336E+01   2.779E-01
   2.342E+00   3.924E+14   1.334E+01   2.778E-01
   2.408E+00   3.915E+14   1.331E+01   2.778E-01
   2.476E+00   3.906E+14   1.329E+01   2.777E-01
   2.547E+00   3.895E+14   1.326E+01   2.776E-01
   2.619E+00   3.884E+14   1.322E+01   2.776E-01
   2.693E+00   3.873E+14   1.319E+01   2.775E-01
   2.770E+00   3.861E+14   1.315E+01   2.774E-01
   2.848E+00   3.848E+14   1.311E+01   2.773E-01
   2.929E+00   3.835E+14   1.307E+01   2.772E-01
   3.012E+00   3.821E+14   1.302E+01   2.771E-01
   3.098E+00   3.806E+14   1.297E+01   2.770E-01
   3.186E+00   3.790E+14   1.293E+01   2.768E-01
   3.276E+00   3.773E+14   1.288E+01   2.767E-01
   3.369E+00   3.755E+14   1.284E+01   2.766E-01
   3.465E+00   3.736E+14   1.280E+01   2.764E-01
   3.563E+00   3.716E+14   1.276E+01   2.763E-01
   3.664E+00   3.694E+14   1.273E+01   2.762E-01
   3.768E+00   3.671E+14   1.271E+01   2.760E-01
   3.875E+00   3.646E+14   1.266E+01   2.759E-01
