   R [km]      D [g/ccm]   T [mev]     Y        
   1.167E-01   4.558E+14   1.323E+01   2.669E-01
   3.500E-01   4.502E+14   1.491E+01   2.821E-01
   5.833E-01   4.492E+14   1.495E+01   2.836E-01
   9.272E-01   4.476E+14   1.484E+01   2.813E-01
   1.302E+00   4.455E+14   1.456E+01   2.798E-01
   1.545E+00   4.434E+14   1.445E+01   2.796E-01
   1.703E+00   4.418E+14   1.438E+01   2.795E-01
   1.806E+00   4.407E+14   1.435E+01   2.794E-01
   1.872E+00   4.399E+14   1.432E+01   2.794E-01
   1.925E+00   4.393E+14   1.430E+01   2.793E-01
   1.980E+00   4.386E+14   1.428E+01   2.793E-01
   2.036E+00   4.379E+14   1.426E+01   2.792E-01
   2.094E+00   4.372E+14   1.423E+01   2.792E-01
   2.153E+00   4.364E+14   1.421E+01   2.791E-01
   2.214E+00   4.355E+14   1.419E+01   2.791E-01
   2.277E+00   4.346E+14   1.416E+01   2.790E-01
   2.342E+00   4.337E+14   1.413E+01   2.789E-01
   2.408E+00   4.327E+14   1.410E+01   2.789E-01
   2.476E+00   4.316E+14   1.407E+01   2.788E-01
   2.547E+00   4.305E+14   1.404E+01   2.787E-01
   2.619E+00   4.293E+14   1.401E+01   2.786E-01
   2.693E+00   4.281E+14   1.397E+01   2.785E-01
   2.770E+00   4.268E+14   1.393E+01   2.784E-01
   2.848E+00   4.254E+14   1.389E+01   2.783E-01
   2.929E+00   4.239E+14   1.385E+01   2.782E-01
   3.012E+00   4.224E+14   1.380E+01   2.780E-01
   3.098E+00   4.207E+14   1.376E+01   2.779E-01
   3.186E+00   4.189E+14   1.372E+01   2.777E-01
   3.276E+00   4.171E+14   1.368E+01   2.776E-01
   3.369E+00   4.151E+14   1.364E+01   2.774E-01
   3.465E+00   4.130E+14   1.361E+01   2.772E-01
   3.563E+00   4.108E+14   1.358E+01   2.770E-01
   3.664E+00   4.084E+14   1.354E+01   2.768E-01
   3.768E+00   4.059E+14   1.352E+01   2.766E-01
   3.875E+00   4.032E+14   1.347E+01   2.764E-01
   3.985E+00   4.004E+14   1.342E+01   2.761E-01
   4.098E+00   3.975E+14   1.337E+01   2.759E-01
   4.214E+00   3.944E+14   1.331E+01   2.756E-01
   4.334E+00   3.911E+14   1.325E+01   2.753E-01
   4.457E+00   3.876E+14   1.319E+01   2.749E-01
   4.583E+00   3.840E+14   1.313E+01   2.745E-01
   4.713E+00   3.801E+14   1.307E+01   2.741E-01
   4.847E+00   3.760E+14   1.302E+01   2.737E-01
   4.984E+00   3.717E+14   1.296E+01   2.732E-01
   5.126E+00   3.671E+14   1.291E+01   2.727E-01
   5.271E+00   3.622E+14   1.284E+01   2.721E-01
   5.421E+00   3.571E+14   1.276E+01   2.715E-01
   5.575E+00   3.517E+14   1.269E+01   2.708E-01
   5.733E+00   3.460E+14   1.262E+01   2.701E-01
   5.896E+00   3.400E+14   1.256E+01   2.693E-01
   6.063E+00   3.336E+14   1.251E+01   2.684E-01
   6.235E+00   3.267E+14   1.245E+01   2.675E-01
   6.412E+00   3.196E+14   1.238E+01   2.665E-01
   6.594E+00   3.119E+14   1.235E+01   2.655E-01
   6.781E+00   3.037E+14   1.238E+01   2.643E-01
   6.973E+00   2.947E+14   1.246E+01   2.632E-01
   7.171E+00   2.851E+14   1.260E+01   2.620E-01
   7.375E+00   2.746E+14   1.286E+01   2.607E-01
   7.584E+00   2.631E+14   1.323E+01   2.596E-01
   7.799E+00   2.505E+14   1.371E+01   2.585E-01
   8.021E+00   2.366E+14   1.435E+01   2.577E-01
   8.248E+00   2.214E+14   1.515E+01   2.573E-01
   8.482E+00   2.045E+14   1.612E+01   2.576E-01
   8.723E+00   1.860E+14   1.728E+01   2.591E-01
   8.970E+00   1.661E+14   1.860E+01   2.621E-01
   9.225E+00   1.455E+14   2.000E+01   2.669E-01
   9.487E+00   1.256E+14   2.139E+01   2.731E-01
   9.756E+00   1.076E+14   2.267E+01   2.803E-01
   1.003E+01   9.244E+13   2.375E+01   2.866E-01
   1.032E+01   8.043E+13   2.460E+01   2.900E-01
   1.061E+01   7.042E+13   2.530E+01   2.931E-01
   1.091E+01   6.218E+13   2.588E+01   2.946E-01
   1.122E+01   5.556E+13   2.630E+01   2.940E-01
   1.154E+01   5.007E+13   2.660E+01   2.918E-01
   1.187E+01   4.552E+13   2.679E+01   2.879E-01
   1.220E+01   4.167E+13   2.686E+01   2.828E-01
   1.255E+01   3.838E+13   2.684E+01   2.768E-01
   1.291E+01   3.553E+13   2.673E+01   2.701E-01
   1.327E+01   3.304E+13   2.653E+01   2.628E-01
   1.365E+01   3.084E+13   2.626E+01   2.551E-01
   1.404E+01   2.887E+13   2.592E+01   2.472E-01
   1.443E+01   2.710E+13   2.551E+01   2.392E-01
   1.484E+01   2.549E+13   2.505E+01   2.311E-01
   1.527E+01   2.400E+13   2.456E+01   2.230E-01
   1.570E+01   2.261E+13   2.401E+01   2.153E-01
   1.614E+01   2.132E+13   2.344E+01   2.075E-01
   1.660E+01   2.009E+13   2.284E+01   2.002E-01
   1.707E+01   1.893E+13   2.221E+01   1.930E-01
   1.756E+01   1.781E+13   2.157E+01   1.863E-01
   1.805E+01   1.674E+13   2.091E+01   1.797E-01
   1.857E+01   1.571E+13   2.024E+01   1.735E-01
   1.909E+01   1.472E+13   1.957E+01   1.675E-01
   1.964E+01   1.376E+13   1.889E+01   1.619E-01
   2.019E+01   1.283E+13   1.820E+01   1.565E-01
   2.077E+01   1.193E+13   1.752E+01   1.514E-01
   2.136E+01   1.106E+13   1.684E+01   1.466E-01
   2.196E+01   1.022E+13   1.617E+01   1.421E-01
   2.259E+01   9.410E+12   1.551E+01   1.378E-01
   2.323E+01   8.628E+12   1.486E+01   1.338E-01
   2.389E+01   7.870E+12   1.423E+01   1.304E-01
   2.456E+01   7.146E+12   1.362E+01   1.272E-01
   2.526E+01   6.452E+12   1.303E+01   1.245E-01
   2.598E+01   5.791E+12   1.248E+01   1.223E-01
   2.671E+01   5.164E+12   1.196E+01   1.209E-01
   2.747E+01   4.581E+12   1.148E+01   1.199E-01
   2.825E+01   4.042E+12   1.102E+01   1.195E-01
   2.905E+01   3.552E+12   1.060E+01   1.194E-01
   2.988E+01   3.110E+12   1.019E+01   1.198E-01
   3.073E+01   2.717E+12   9.807E+00   1.203E-01
