#              X                D                V                M
    0.0001000000     1.7500005062     0.0332499964     0.0000000000
    0.0001059770     1.7501208047     0.0297806164     0.0000000000
    0.0001119541     1.7502153398     0.0268068633     0.0000000000
    0.0001179311     1.7502881358     0.0242508867     0.0000000000
    0.0001280900     1.7503828001     0.0205647497     0.0000000000
    0.0001382488     1.7504488733     0.0176201957     0.0000000000
    0.0001484077     1.7504957453     0.0152571667     0.0000000000
    0.0001585666     1.7505297312     0.0133384434     0.0000000000
    0.0001800367     1.7505706739     0.0103496634     0.0000000000
    0.0002015068     1.7505911064     0.0082624921     0.0000000001
    0.0002229769     1.7506029365     0.0067173055     0.0000000001
    0.0002444469     1.7506105862     0.0055412697     0.0000000001
    0.0002659170     1.7506145938     0.0046277411     0.0000000001
    0.0003065641     1.7506179557     0.0034140502     0.0000000002
    0.0003472111     1.7506187282     0.0025924736     0.0000000003
    0.0003878582     1.7506187488     0.0019936892     0.0000000004
    0.0004285052     1.7506186452     0.0015440854     0.0000000006
    0.0004691523     1.7506181611     0.0011975056     0.0000000008
    0.0005650697     1.7506167600     0.0006481446     0.0000000013
    0.0006609870     1.7506142754     0.0002631282     0.0000000021
    0.0007569044     1.7506111681    -0.0000469736     0.0000000032
    0.0008528217     1.7506085205    -0.0002784702     0.0000000045
    0.0009487391     1.7506070312    -0.0004272901     0.0000000063
    0.0014587040     1.7505896298    -0.0010806994     0.0000000231
    0.0019686689     1.7505778771    -0.0013793359     0.0000000571
    0.0024786339     1.7505676174    -0.0016443643     0.0000001138
    0.0029885988     1.7505561813    -0.0019521436     0.0000001988
    0.0044026868     1.7505004116    -0.0028980575     0.0000007445
    0.0058167748     1.7504245111    -0.0038518337     0.0000017178
    0.0072308628     1.7503306301    -0.0048023137     0.0000032421
    0.0091795703     1.7501672664    -0.0061074988     0.0000066177
    0.0111282778     1.7499707433    -0.0074101537     0.0000116230
    0.0130769853     1.7497421064    -0.0087114633     0.0000185877
    0.0166950824     1.7492517414    -0.0111260392     0.0000371129
    0.0203131795     1.7486510630    -0.0135391858     0.0000649217
    0.0239312766     1.7479404207    -0.0159516702     0.0001042822
    0.0275493738     1.7471244792    -0.0183638700     0.0001573549
    0.0328693188     1.7457723399    -0.0219104797     0.0002652921
    0.0381892638     1.7442145966    -0.0254567928     0.0004139663
    0.0435092088     1.7424392663    -0.0290028076     0.0006098175
    0.0488291538     1.7404423464    -0.0325485294     0.0008593266
    0.0556895528     1.7375383140    -0.0371205126     0.0012716808
    0.0625499519     1.7342654865    -0.0416919646     0.0017976613
    0.0694103509     1.7306267022    -0.0462628413     0.0024506975
    0.0762707499     1.7266251548    -0.0508330970     0.0032441643
    0.1171771023     1.6954948542    -0.0780679549     0.0115791790
    0.1580834546     1.6525967962    -0.1052665197     0.0279473787
    0.1989898070     1.5990994586    -0.1324159346     0.0546298542
    0.2398961593     1.5364258283    -0.1595027433     0.0934623989
    0.2808025117     1.4661773249    -0.1865133832     0.1457793926
    0.3305721373     1.3729400804    -0.2192537403     0.2287768555
    0.3803417629     1.2740696181    -0.2518352993     0.3333823661
    0.4301113885     1.1724884871    -0.2842313195     0.4589893577
    0.4798810140     1.0707510633    -0.3164141882     0.6041312919
    0.5296506396     0.9710737180    -0.3483546174     0.7666657195
    0.5794202652     0.8752028794    -0.3800229069     0.9439957382
    0.6351963388     0.7738772120    -0.4151510460     1.1567754458
    0.6909724124     0.6802035063    -0.4498512142     1.3803803585
    0.7467484861     0.5948517500    -0.4840736329     1.6107678673
    0.8025245597     0.5180801092    -0.5177658644     1.8442118153
    0.8583006333     0.4496541771    -0.5508755141     2.0774611035
    0.9140767069     0.3895178544    -0.5833456784     2.3076777446
    0.9790177813     0.3287533765    -0.6202803716     2.5692131118
    1.0439588557     0.2768776830    -0.6561923271     2.8211127884
    1.1088999300     0.2328799194    -0.6909854530     3.0612938627
    1.1738410044     0.1958144069    -0.7245627687     3.2884033739
    1.2387820788     0.1647544640    -0.7568312919     3.5017676495
    1.3380751630     0.1269189058    -0.8034577816     3.8011454025
    1.4373682472     0.0982724012    -0.8465854841     4.0692781377
    1.5366613314     0.0764274409    -0.8860120049     4.3084124888
    1.6359544157     0.0598251293    -0.9215714532     4.5208671580
    1.7352474999     0.0473680153    -0.9531770912     4.7094584895
    1.8345405841     0.0379615816    -0.9809123600     4.8776715590
    1.9619226617     0.0289095730    -1.0112227145     5.0684266063
    2.0893047394     0.0222577217    -1.0359224021     5.2351367940
    2.2166868171     0.0173464662    -1.0548346735     5.3811725936
    2.2566807719     0.0161045228    -1.0594132341     5.4232058708
    2.2966747268     0.0149679287    -1.0630612281     5.4636356138
    2.3086729133     0.0146418771    -1.0638972847     5.4754711756
    2.3206710998     0.0143204221    -1.0645214082     5.4871693426
    2.3326692862     0.0140007506    -1.0648069656     5.4987269554
    2.3446674727     0.0136767973    -1.0644859104     5.5101387244
    2.3500000000     0.0135270271    -1.0639498901     5.5151610501
    2.4000000000     0.0117785891    -1.0526349707     5.5867450058
    2.4079148565     0.0116802101    -1.0562674200     5.5934898368
    2.4639148565     0.0108775377    -1.0734261639     5.6405576208
    2.5199148565     0.0100116272    -1.0815495889     5.6861671446
    2.5759148565     0.0091968366    -1.0864306351     5.7300280704
    2.6319148565     0.0084616588    -1.0902608745     5.7721435637
    2.6879148565     0.0077985444    -1.0932933486     5.8126152395
    2.7439148565     0.0071982982    -1.0956932088     5.8515633836
    2.7999148565     0.0066506740    -1.0975625418     5.8891513974
    2.8532765710     0.0061695959    -1.0988914956     5.9238817446
    2.9066382855     0.0057331989    -1.0998306708     5.9573484333
    2.9600000000     0.0053359132    -1.1004110598     5.9896522709
    2.9600000000     0.0053277874    -1.0995890849     5.9903473318
    3.0134229883     0.0049876904    -1.0996288087     6.0208988197
    3.0668459766     0.0046752084    -1.0993732234     6.0505807148
    3.1202689648     0.0043882527    -1.0988530253     6.0794200687
    3.2915637432     0.0035948341    -1.0957003229     6.1670314038
    3.4628585217     0.0029769897    -1.0906543418     6.2473929200
    3.6341533001     0.0024940641    -1.0843041183     6.3213549752
