                Time                    D                   S1                   S2                   S3                  tau                    P
  0.000000000000E+00   5.625000000000E-01   0.000000000000E+00   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.500000000000E-01
  3.974444359934E-03   5.625000000000E-01   3.576999923941E-03   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.492512446909E-01
  7.986211384800E-03   5.625000000000E-01   7.187590246320E-03   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.484376055601E-01
  1.199631739824E-02   5.625000000000E-01   1.079668565842E-02   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.476253572522E-01
  1.598732567036E-02   5.625000000000E-01   1.438859310332E-02   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.468149241831E-01
  1.998021302769E-02   5.625000000000E-01   1.798219172492E-02   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.460062761962E-01
  2.397534339003E-02   5.625000000000E-01   2.157780905103E-02   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.451955363318E-01
  2.796823734038E-02   5.625000000000E-01   2.517141360635E-02   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.443923412734E-01
  3.199757076804E-02   5.625000000000E-01   2.879781369124E-02   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.435703962069E-01
  3.598851490168E-02   5.625000000000E-01   3.238966341152E-02   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.427616817610E-01
  3.997864787929E-02   5.625000000000E-01   3.598078309136E-02   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.419513515044E-01
  4.396876093990E-02   5.625000000000E-01   3.957188484591E-02   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.411425973159E-01
  4.799491416460E-02   5.625000000000E-01   4.319542274814E-02   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.403251625973E-01
  5.198254970446E-02   5.625000000000E-01   4.678429473402E-02   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.395227263337E-01
  5.597137355899E-02   5.625000000000E-01   5.037423620309E-02   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.387095332027E-01
  5.999661423168E-02   5.625000000000E-01   5.399695280851E-02   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.378936676925E-01
  6.398412116202E-02   5.625000000000E-01   5.758570904582E-02   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.370840229176E-01
  6.797174628056E-02   5.625000000000E-01   6.117457165251E-02   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.362760005306E-01
  7.199619818647E-02   5.625000000000E-01   6.479657836782E-02   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.354590424156E-01
  7.598231028472E-02   5.625000000000E-01   6.838407925625E-02   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.346567107225E-01
  7.996972890129E-02   5.625000000000E-01   7.197275601116E-02   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.338455943160E-01
  8.399416854384E-02   5.625000000000E-01   7.559475168946E-02   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.330287523922E-01
  8.798100630434E-02   5.625000000000E-01   7.918290567391E-02   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.322195196411E-01
  9.196788233801E-02   5.625000000000E-01   8.277109410421E-02   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.314117374867E-01
  9.599204048826E-02   5.625000000000E-01   8.639283643944E-02   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.305950730137E-01
  9.997798720493E-02   5.625000000000E-01   8.998018848444E-02   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.297914882389E-01
  1.039649539885E-01   5.625000000000E-01   9.356845858962E-02   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.289830478843E-01
  1.079894562804E-01   5.625000000000E-01   9.719051065237E-02   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.281646164521E-01
  1.119763578979E-01   5.625000000000E-01   1.007787221081E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.273555026744E-01
  1.159631394069E-01   5.625000000000E-01   1.043668254662E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.265477278351E-01
  1.199874227867E-01   5.625000000000E-01   1.079886805081E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.257314963858E-01
  1.239737284571E-01   5.625000000000E-01   1.115763556114E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.249260661686E-01
  1.279973594227E-01   5.625000000000E-01   1.151976234805E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.241132629624E-01
  1.319852048617E-01   5.625000000000E-01   1.187866843755E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.233005340954E-01
  1.359723590028E-01   5.625000000000E-01   1.223751231025E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.224933996844E-01
  1.399961574238E-01   5.625000000000E-01   1.259965416814E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.216760608317E-01
  1.439836958774E-01   5.625000000000E-01   1.295853262896E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.208677950160E-01
  1.479705440088E-01   5.625000000000E-01   1.331734896079E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.200604920071E-01
  1.519939771654E-01   5.625000000000E-01   1.367945794489E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.192499066933E-01
  1.559819625532E-01   5.625000000000E-01   1.403837662979E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.184363048509E-01
