                Time                    D                   S1                   S2                   S3                    E                  E_i                  E_k                  E_g
  0.000000000000E+00   1.220000000000E+01   1.220000000000E+00   0.000000000000E+00   0.000000000000E+00   2.506100000000E+01   2.500000000000E+01   6.100000000000E-02   0.000000000000E+00
  1.000000000000E-02   1.220040000000E+01   1.220040000000E+00   0.000000000000E+00   0.000000000000E+00   2.506100200000E+01   2.500000000000E+01   6.100200000000E-02   0.000000000000E+00
  2.000000000000E-02   1.220080000000E+01   1.220080000000E+00   0.000000000000E+00   0.000000000000E+00   2.506100400000E+01   2.500000000000E+01   6.100400000000E-02   0.000000000000E+00
  3.000000000000E-02   1.220120000000E+01   1.220120000000E+00   0.000000000000E+00   0.000000000000E+00   2.506100600000E+01   2.500000000000E+01   6.100600000000E-02   0.000000000000E+00
  4.000000000000E-02   1.220160000000E+01   1.220160000000E+00   0.000000000000E+00   0.000000000000E+00   2.506100800000E+01   2.500000000000E+01   6.100800000000E-02   0.000000000000E+00
  5.000000000000E-02   1.220200000000E+01   1.220200000000E+00   0.000000000000E+00   0.000000000000E+00   2.506101000000E+01   2.500000000000E+01   6.101000000000E-02   0.000000000000E+00
  6.000000000000E-02   1.220240000000E+01   1.220240000000E+00   0.000000000000E+00   0.000000000000E+00   2.506101200000E+01   2.500000000000E+01   6.101200000000E-02   0.000000000000E+00
  7.000000000000E-02   1.220280000000E+01   1.220280000000E+00   0.000000000000E+00   0.000000000000E+00   2.506101400000E+01   2.500000000000E+01   6.101400000000E-02   0.000000000000E+00
  8.000000000000E-02   1.220320000000E+01   1.220320000000E+00   0.000000000000E+00   0.000000000000E+00   2.506101600000E+01   2.500000000000E+01   6.101600000000E-02   0.000000000000E+00
  9.000000000000E-02   1.220360000000E+01   1.220360000000E+00   0.000000000000E+00   0.000000000000E+00   2.506101800000E+01   2.500000000000E+01   6.101800000000E-02   0.000000000000E+00
  1.000000000000E-01   1.220400000000E+01   1.220400000000E+00   0.000000000000E+00   0.000000000000E+00   2.506102000000E+01   2.500000000000E+01   6.102000000000E-02   0.000000000000E+00
